Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Costa Rica,34286836984,38850896565,43145964404,46374158063,47166941923,51139413620,53343372587,54100520236,55659376522,57459966626,55281082436,56532369848
Cote d'Ivoire,22618513885,22582385044,24422563752,28330452385,46466479800,43312710567,44717062439,47669715731,53492303165,54385585138,57024604629,64141668493
Croatia,47722089786,49987928547,45268731460,47695172173,47505694130,42022305888,42729714666,46809759931,51791465921,51791357757,47876177438,56452688748
Cuba,50145314665,58368849455,62116251531,65874791736,68926047636,74925815421,78385006061,82856190368,85169474842,88404557254,,
Curacao,,,,,,,,,,,,
Cyprus,22304095623,24997589248,21724664919,20423865009,19378425512,17093866473,17567581861,19490485911,21653877830,21532497305,20059802171,22227522576
Czechia,1.49077E+11,1.62137E+11,1.50665E+11,1.52582E+11,1.50353E+11,1.3608E+11,1.4243E+11,1.62256E+11,1.85505E+11,1.86455E+11,1.80197E+11,2.08474E+11
Denmark,2.66918E+11,2.86113E+11,2.72907E+11,2.91639E+11,3.0337E+11,2.60292E+11,2.68042E+11,2.83757E+11,3.06118E+11,2.96347E+11,3.04644E+11,3.44355E+11
Djibouti,905792589.6,1015804641,1117354985,1586766759,1866674018,2085118765,2156902295,2218600289,2451825114,2638372565,2742439520,3080405148
Dominica,415809527,406525709.2,396572253.1,399740066.2,428969515.1,445063829.5,480482604.8,452686396,477321052.1,515026502.6,437053319.7,472053855.9
Dominican Republic,49567929742,53219573897,55575112510,56447619101,60364395092,64844273924,68597038096,71762027829,76696510022,79201784818,69503723948,81914377873
Ecuador,52529830350,57804657801,65344061678,72200234598,77116284795,78963239413,78974082894,80819082075,79599885021,80158709241,75753567512,78171039767
"Egypt, Arab Rep.",1.86367E+11,1.95692E+11,2.37673E+11,2.46311E+11,2.63721E+11,2.97127E+11,3.00576E+11,2.07378E+11,2.15994E+11,2.61566E+11,3.24109E+11,3.53377E+11
