Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central African Republic,16.40023994,18.9371357,20.60425186,16.78926849,18.02748299,17.71483231,20.25914001,27.64416504,49.17564392,33.9444313,40.11012268,42.92785645
Central Europe and the Baltics,869.7069331,921.1159899,864.2274372,910.7821199,931.2483852,815.751644,852.6656508,939.0303724,1053.681819,1090.03602,1182.086473,1389.883075
Chad,36.498703,38.68487549,37.49700546,39.97917175,43.6758728,35.03440857,33.10380936,31.06099701,32.30886459,31.30481529,35.72977829,35.63117981
Channel Islands,,,,,,,,,,,,
Chile,870.7095947,994.6660767,1081.460693,1183.62085,1150.061646,1133.279785,1179.733643,1367.716431,1457.272827,1369.484009,1280.632324,1518.040039
China,189.3437042,239.7543335,285.31427,329.7810669,363.0093994,393.7799072,398.7892151,440.588501,504.7997437,539.6194458,583.4321899,670.5145874
Colombia,452.0512085,501.2983093,546.2114868,579.8796387,586.8764038,468.6054382,447.0699463,495.2702637,517.1584473,500.7313843,462.2328186,557.5394898
Comoros,69.0898819,80.95452881,76.77297974,81.4433136,84.27106476,60.86703491,63.14864731,74.52148438,74.43584442,77.80075073,88.67053223,99.03723907
"Congo, Dem. Rep.",12.53950882,12.27988434,13.62572193,15.86667633,18.79024887,19.13417244,19.91032028,18.74936485,17.87852287,19.85771751,21.25385666,22.32123756
"Congo, Rep.",54.86231995,59.84463501,71.6878891,72.29035187,71.47676086,57.67850113,54.67388153,52.68054199,47.67589569,58.90272522,80.80835724,80.5149231
Costa Rica,654.1734009,742.1419067,776.4348755,816.8787231,822.9100342,875.3497315,870.7384033,853.7504883,902.2211914,914.8847046,953.0825195,948.9216309
Cote d'Ivoire,71.98825836,72.44979095,74.48454285,71.52493286,79.31149292,62.51667023,66.39353943,68.61872864,70.97071075,73.64801788,85.17427826,81.86914825
Croatia,1126,1132,1030,890,909,796,841,903,1025,1040,1095,1384
Cuba,608.9615479,695.9915772,601.4242554,710.793396,864.1555786,985.4190064,984.2486572,980.0921631,973.1374512,1013.101379,1186.156494,..
Curacao,,,,,,,,,,,,
Cyprus,2045,2115,1899,1916,1874,1596,1649,1773,2021,2093,2362,2990
